Cohalan,771298484,67,51,74,51
Vallack,615278957,45,57,79,49
Bungey,319585891,42,37,57,86
Balden,019478797,80,90,79,26
Probet,701116170,58,35,76,98
Baigent,998970542,86,61,63,65
Quarton,971939596,58,40,100,91
Witt,054978458,59,99,72,46
Burnand,283808017,59,92,51,11
Rawsthorn,814535776,63,50,62,100
Vasyatkin,925395193,84,73,85,57
Crossby,427723213,33,56,100,100
Hanham,597141409,74,30,68,60
Scorthorne,720102259,58,33,100,67
Evans,473955894,93,96,92,89
O'Bee,058336708,44,11,66,44
Lewsam,623498290,60,58,72,74
Skim,412729216,70,51,88,84
Feehely,073095508,49,50,82,100
Brandassi,027384415,77,59,93,51
Umbert,058510748,73,100,78,58
Lygo,140824408,55,75,78,85
Schulkins,200434642,54,52,65,37
Scanlon,962865222,39,49,55,85
Allridge,115735549,75,52,70,27
Batchan,333316640,71,39,94,54
Purveys,583193483,46,74,59,66
Shemilt,374260199,58,88,85,32
Conant,640666260,39,51,89,64
Botright,292406035,77,27,82,95
Schulkins,152835084,60,22,70,45
Domke,624409539,61,71,48,51
Elies,634033768,77,100,56,100
Larham,145602942,63,32,81,29
Vacher,498955516,72,14,73,21
Di Filippo,711731193,65,65,89,64
Blench,496815213,40,24,73,79
Goodread,010007942,50,42,66,56
Minchin,988677183,94,14,69,8
Orrock,509070758,69,54,85,69
Wyles,154625310,49,25,86,48
Tookill,193475472,23,62,53,28
Wimmer,853474046,45,37,83,97
Spira,979696276,14,54,93,61
Felix,875835071,63,2,71,81
Reckhouse,148144410,71,88,77,59
Le Breton De La Vieuville,558486912,47,41,81,57
Horrigan,812230116,45,52,80,64
Le Port,014113685,67,34,91,83
Spitell,043792447,40,88,83,79
Dils,538529529,84,88,55,48
Goodge,602790717,100,50,67,39
Vern,235405979,95,51,62,40
Death,436211337,62,2,93,20
Giacomello,790772359,57,18,80,68
McAvey,843110330,61,17,53,74
Sevitt,711438118,61,40,69,76
Utridge,013821354,69,51,74,56
Calleja,304154084,82,69,72,74
Barenskie,545937322,57,72,70,75
Beckingham,380600744,61,82,61,33
Coggen,520808387,63,0,100,61
Christene,005768811,74,38,100,53
Hodgen,248294860,81,18,73,87
Bisco,203249260,43,45,54,68
Woodruff,721092637,65,68,76,90
Binham,298643920,73,60,76,49
Ivasechko,199652751,31,16,78,92
Gecke,019609957,57,29,53,34
Izakof,347786735,57,14,48,9
Pringour,210495355,71,11,100,74
Burgum,066120460,32,67,93,76
Thomel,827027608,73,54,52,42
Doldon,700489818,69,73,71,58
Benyon,026302393,76,86,89,80
Norvel,010489034,45,52,68,65
Mullard,111450702,85,56,92,63
Phelp,395748563,62,60,57,84
Androli,746030914,55,64,100,71
Vinall,758604004,86,60,60,27
